"RegionName","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10"
"Colorado Springs","CO","Colorado Springs","El Paso County",19,,,,1850,1700,1895,1600,1547.5,1560,1595,1595,1497.5,1500,1497.5,1697.5,1875,1762.5,1675,1650,1650,1645,1650,1600,1600,1649,1650,1695,1795,1795,1650,1600,1650,1650,1600,1597.5,1647.5,1600,1650,1650,1697.5,1795,1850,1795,1850,1795,1725,1725,1700,1725,1750,1795,1950,1950,1895,1837.5,1895,1895,1875,1850,1795,1800,1797.5,1800,1800,1950,1897.5,1995,1925,1750,1800,1850,1925,1972.5,2000,1997.5,2095,2195,2150,2042.5,1995,2000,1995,1912.5,1895,2000,2050,2137.5,2195,2125,2125,2195,2125,2050,2000,1950,2000,2125,2100,2195,2195,2000,2250,2199,2100,2172.5,2097.5
"Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2395,2297.5,2250,2047.5,2200,1995,2200,2195,2295,2195,2212.5,2225,2300,2325,2400,2147.5,2247.5,2200,2272.5,2300,2200,2218,2195,2197.5,2247.5,2500,2500,2395,2295
"Virginia Beach","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City",21,,,,,,,,,,,,,,,,,2395,2200,2225,2100,2200,2050,2050,2200,2197.5,2100,1950,2200,2250,2395,2250,2100,1992.5,2050,2295,2100,1925,2000,2000,2225,2300,2300,2297.5,2147.5,2300,2247.5,2200,2200,2295,2100,2100,2395,2395,2295,2000,2050,2095,2097.5,2100,2100,2200,2200,2472.5,2400,2337.5,2250,2395,2395,2347.5,2297.5,2097.5,2100,2250,2200,2275,2195,2550,2400,2462.5,2337.5,2367.5,2295,2200,2295,2200,2295,2300,2400,2400,2462.5,2495,2400,2300,2395,2395,2497.5,2500,2495,2400,2600,2500,2472.5,2650,2497.5,2395,2395
"Oakland","CA","San Francisco-Oakland-Hayward","Alameda County",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3147,3000,2995,2972.5,2895,2742.5,2797.5,2900,3000,2798,2950,2875,2600,2900,2672.5,2500,2600,2747.5,3200,2940,2800,2725,2700,2700,2750
"Honolulu","HI","Urban Honolulu","Honolulu County",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2545,2400,2400,2500,2500,2500,2600,2750,2600,2500,2450,2462.5,2500,2500,2697.5,2500,2500,2500,2487,2300,2325,2500,2500,2500,2550,2600,2650,2495,2400,2400,2475,2400,2700
"Cleveland","OH","Cleveland-Elyria","Cuyahoga County",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825,780,785,780,850,850,812.5,825,800,725,785,720,725,800,850,850,875,800,837.5,875,875,995,937,900,925,937.5,937.5,900,850,825,850,850,935
"Wichita","KS","Wichita","Sedgwick County",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195,1100,1185,1150,1099,1095,1095,1097.5,1202.5,1200,1210,1175,1140,1250,1300,1300
"Anchorage","AK","Anchorage","Anchorage Borough",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1575,1525,1625,1750,1695,1700,1610,1500,1495,1600,1595,1695,1650,1600,1600,1600,1772.5,1800,1862.5,1800,1800,1775,1700,1625,1695,1750,1800,1800,1725,1825,1800,1800,1850
"Plano","TX","Dallas-Fort Worth-Arlington","Collin County",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2497.5,2550,2500,2500,2499.5,2600,2500,2495,2495,2550,2525,2497.5,2495,2492.5,2495,2600,2745,2722.5,2612.5,2674.5,2525,2497.5,2500,2500,2650,2700,2762.5,2700,2595,2595,2750,2725,2537.5,2825
"Henderson","NV","Las Vegas-Henderson-Paradise","Clark County",28,,,,,,,2300,2225,2200,2150,2197.5,2200,2100,2200,2200,2300,2100,2097.5,2050,2050,1900,1995,2074.5,2099.5,2200,2100,2050,2100,2000,2200,2200,2200,2195,2100,2195,2150,2100,2100,2029,2000,2037.5,2000,1997.5,2000,2000,1995,1950,2195,1995,2297,2100,2197.5,2395,2300,2400,2207.5,2247.5,2100,2000,2095,2095,2005,2112.5,2200,2100,2332.5,2250,2391,2100,2295,2400,2095,2195,2246,2295,2395,2340,2400,2347.5,2250,2197.5,2200,2275,2195,2250,2250,2295,2495,2350,2390,2447.5,2372.5,2395,2400,2485,2500,2461.5,2387.5,2475,2650,2695,2685,2500,2650,2700,2500
